nameWithOwner,createdAt,pushedAt,releases_totalCount,primaryLanguage_name,pullRequests_totalCount,closedIssues_totalCount,openIssues_totalCount,stargazers_totalCount
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2025-08-18T12:26:45Z,0,TypeScript,25702,19623,198,425972
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2025-07-29T21:02:41Z,0,Markdown,142,595,224,411608
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-08-17T15:03:15Z,0,Python,6820,1150,31,365296
public-apis/public-apis,2016-03-20T23:49:42Z,2025-05-20T15:56:34Z,0,Python,1872,703,8,361758
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2025-08-18T13:54:00Z,1,TypeScript,3673,2693,248,334036
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-05-21T11:13:33Z,0,Python,200,91,248,316397
vinta/awesome-python,2014-06-27T21:00:06Z,2025-07-17T16:35:51Z,0,Python,544,0,0,255576
facebook/react,2013-05-24T16:15:54Z,2025-08-18T13:21:24Z,105,JavaScript,12107,13185,804,238196
vuejs/vue,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,249,TypeScript,1133,9673,355,209273
TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-08-12T07:30:14Z,0,Python,2975,1511,75,204133
torvalds/linux,2011-09-04T22:48:12Z,2025-08-17T22:25:37Z,0,C,10,0,0,199996
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2025-02-12T16:19:59Z,0,JavaScript,302,229,137,193028
tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-08-18T14:06:38Z,219,C++,35853,39836,891,191216
ossu/computer-science,2014-05-04T00:18:39Z,2025-07-17T02:38:25Z,0,HTML,298,638,14,190530
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2025-08-18T06:32:20Z,0,Shell,3376,4825,141,180774
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2025-08-18T14:08:21Z,67,Python,3177,3221,161,177868
microsoft/vscode,2015-09-03T20:23:38Z,2025-08-18T14:00:50Z,176,TypeScript,36071,192806,12122,175854
twbs/bootstrap,2011-07-29T21:19:00Z,2025-08-17T18:57:38Z,93,MDX,8970,22343,407,172852
flutter/flutter,2015-03-06T22:54:58Z,2025-08-18T07:19:12Z,7,Dart,43748,96795,11892,171921
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2025-03-28T10:29:23Z,0,Jupyter Notebook,13,118,573,171009
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2025-05-03T06:17:03Z,27,Python,1874,5465,2362,155684
