file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\knapsack.java,chapter_dynamic_programming.knapsack,class,2,3,1,2,19,1,0,7,10,0.0,0.0,0.0,5,5,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,15,73,9,5,5,0,0,4,49,25,38,18,3,0,0,0,21,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\unbounded_knapsack.java,chapter_dynamic_programming.unbounded_knapsack,class,2,3,1,2,9,1,0,4,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,41,2,4,0,0,0,2,22,17,17,12,3,0,0,0,16,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\climbing_stairs_constraint_dp.java,chapter_dynamic_programming.climbing_stairs_constraint_dp,class,2,3,1,2,5,1,0,3,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,22,2,1,2,0,0,1,29,10,6,4,1,0,0,0,13,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\climbing_stairs_dp.java,chapter_dynamic_programming.climbing_stairs_dp,class,2,3,1,2,9,1,0,4,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,29,4,2,4,0,0,2,16,14,5,8,1,0,0,0,15,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\edit_distance.java,chapter_dynamic_programming.edit_distance,class,2,3,1,2,26,1,0,9,10,0.0,0.0,0.0,5,5,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,21,82,13,8,13,0,0,18,59,40,40,27,3,0,0,0,26,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\coin_change_ii.java,chapter_dynamic_programming.coin_change_ii,class,2,3,1,2,10,1,0,3,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,44,2,5,0,0,0,2,22,19,15,12,3,0,0,0,17,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\climbing_stairs_dfs.java,chapter_dynamic_programming.climbing_stairs_dfs,class,1,2,1,1,5,1,0,4,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,15,3,0,2,0,0,1,5,3,3,3,1,0,0,0,13,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\climbing_stairs_backtrack.java,chapter_dynamic_programming.climbing_stairs_backtrack,class,1,2,1,1,6,1,0,8,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,22,1,1,1,0,0,1,9,5,3,5,2,0,0,0,13,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\climbing_stairs_dfs_mem.java,chapter_dynamic_programming.climbing_stairs_dfs_mem,class,2,3,1,2,6,1,0,5,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,19,4,0,3,0,0,1,8,5,4,4,1,0,0,0,15,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\coin_change.java,chapter_dynamic_programming.coin_change,class,2,3,1,2,12,1,0,5,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,47,2,5,2,0,0,2,27,21,17,14,3,0,0,0,18,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\min_cost_climbing_stairs_dp.java,chapter_dynamic_programming.min_cost_climbing_stairs_dp,class,2,3,1,2,9,1,0,6,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,32,4,2,4,0,0,3,28,16,7,10,1,0,0,0,19,1,0
C:\PUC\PROJETOS\CÓDIGO\lab medição\LabMedicao\Lab2\Lab02S01\hello-algo\codes\java\chapter_dynamic_programming\min_path_sum.java,chapter_dynamic_programming.min_path_sum,class,2,3,1,2,22,1,0,7,10,0.0,0.0,0.0,5,5,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,13,76,9,8,5,0,0,4,74,34,29,22,2,0,0,0,24,1,0
