repo,pr_number,feedback_final,numero_revisoes,tamanho_files,tamanho_linhas_adicionadas,tamanho_linhas_removidas,tempo_analise_horas,descricao_caracteres,interacoes_participantes,interacoes_comentarios
facebook/react,34780,CLOSED,1,1,46,4,18.96,785,mdj-uk,1
facebook/react,34768,CLOSED,1,3,194,0,3.2,3230,nossbigg,2
facebook/react,34762,MERGED,1,4,63,56,4.87,393,poteto,1
facebook/react,34759,MERGED,1,3,529,291,6.7,729,sebmarkbage,1
facebook/react,34757,MERGED,5,8,60,74,43.03,578,poteto,1
facebook/react,34754,MERGED,2,1,11,9,45.64,0,hoxyq,0
facebook/react,34747,MERGED,1,2,24,8,11.68,974,poteto,3
facebook/react,34742,MERGED,1,2,395,3,9.62,872,eps1lon,1
facebook/react,34734,MERGED,1,1,10,5,19.95,398,sebmarkbage,0
facebook/react,34726,MERGED,4,1,12,1,1.33,28,poteto,1
facebook/react,34720,MERGED,1,7,22,22,82.79,2483,eps1lon,1
facebook/react,34714,MERGED,1,1,2,4,1.19,0,josephsavona,1
facebook/react,34712,MERGED,1,21,36,24,87.29,2758,eps1lon,2
facebook/react,34710,CLOSED,2,3,6,6,10.39,743,kolvian,4
facebook/react,34704,MERGED,1,1,13,0,13.67,56,sebmarkbage,0
facebook/react,34703,MERGED,1,15,518,296,1.08,513,poteto,1
facebook/react,34700,MERGED,1,10,504,34,1.63,2449,poteto,3
facebook/react,34694,MERGED,1,2,58,2,1.02,335,gnoff,1
facebook/react,34692,MERGED,1,5,47,4,23.78,306,eps1lon,0
facebook/react,34691,MERGED,1,4,18,9,4.15,448,EugeneChoi4,0
facebook/react,34690,MERGED,1,4,53,20,1.12,1046,sebmarkbage,0
facebook/react,34684,MERGED,6,7,141,20,4.99,539,eps1lon,0
facebook/react,34682,MERGED,1,1,5,3,1.78,140,eps1lon,0
facebook/react,34673,MERGED,1,3,20,11,3.57,314,EugeneChoi4,0
facebook/react,34665,MERGED,3,4,25,17,4.19,204,eps1lon,3
facebook/react,34664,MERGED,1,3,8,20,5.79,129,eps1lon,1
facebook/react,34661,MERGED,4,2,3,3,18.56,0,eps1lon,0
facebook/react,34659,MERGED,4,2,29,25,18.44,598,sebmarkbage,1
facebook/react,34655,MERGED,5,2,88,0,34.86,344,eps1lon,1
facebook/react,34654,MERGED,1,1,16,0,64.49,1013,sebmarkbage,0
facebook/react,34653,MERGED,1,8,231,20,18.82,299,sebmarkbage,0
facebook/react,34652,MERGED,1,2,39,6,22.1,878,sebmarkbage,1
facebook/react,34651,MERGED,1,1,16,1,23.34,678,sebmarkbage,0
facebook/react,34649,MERGED,1,1,0,17,30.9,95,poteto,1
facebook/react,34648,MERGED,3,2,53,10,27.35,474,hoxyq,1
facebook/react,34646,MERGED,1,2,10,4,24.87,399,eps1lon,1
facebook/react,34645,MERGED,1,10,22,0,4.01,262,eps1lon,1
facebook/react,34644,MERGED,2,2,50,40,4.15,0,eps1lon,0
facebook/react,34642,MERGED,1,5,88,2,11.77,783,sebmarkbage,0
facebook/react,34640,MERGED,1,1,23,32,26.27,226,jackpope,1
facebook/react,34639,MERGED,1,17,29,29,63.93,758,eps1lon,1
facebook/react,34637,MERGED,2,5,218,7,50.2,410,jbrown215,1
facebook/react,34635,MERGED,1,5,76,11,1.79,605,sebmarkbage,1
facebook/react,34633,MERGED,3,56,233,253,73.81,66,eps1lon,1
facebook/react,34630,MERGED,2,6,33,90,111.35,1254,sebmarkbage,3
facebook/react,34629,MERGED,1,1,48,21,10.99,493,sebmarkbage,0
facebook/react,34627,MERGED,3,4,151,57,27.05,899,sebmarkbage,0
facebook/react,34625,MERGED,1,3,33,15,30.23,348,sebmarkbage,0
facebook/react,34624,MERGED,1,3,86,67,30.52,782,sebmarkbage,0
facebook/react,34620,MERGED,2,6,249,31,47.63,476,sebmarkbage,0
facebook/react,34619,MERGED,5,1,1,1,43.73,641,sebmarkbage,0
facebook/react,34611,MERGED,3,4,349,338,167.12,1094,EugeneChoi4,0
facebook/react,34607,MERGED,1,3,71,10,8.25,146,eps1lon,0
facebook/react,34606,MERGED,1,1,27,14,8.79,177,sebmarkbage,0
facebook/react,34605,MERGED,1,4,92,20,9.26,475,sebmarkbage,0
facebook/react,34604,MERGED,3,3,244,7,2.45,2066,sebmarkbage,1
facebook/react,34601,MERGED,1,5,101,0,1.58,1312,sebmarkbage,1
facebook/react,34599,MERGED,1,1,0,13,71.92,337,eps1lon,1
facebook/react,34597,MERGED,1,5,89,37,142.79,2096,EugeneChoi4,2
facebook/react,34596,MERGED,1,4,52,7,119.0,1985,EugeneChoi4,0
facebook/react,34595,MERGED,2,10,238,137,118.66,2091,EugeneChoi4,1
