rodada,tecnologia,tempo_ms,tamanho_bytes
1,REST,290.66920280456543,19496
1,GraphQL,500.1811981201172,883
2,REST,290.1482582092285,19496
2,GraphQL,419.8424816131592,883
3,REST,293.9164638519287,19496
3,GraphQL,307.7056407928467,883
4,REST,342.8771495819092,19496
4,GraphQL,315.4339790344238,883
5,REST,303.24697494506836,19496
5,GraphQL,303.38263511657715,883
6,REST,285.3822708129883,19496
6,GraphQL,291.9631004333496,883
7,REST,264.33753967285156,19496
7,GraphQL,470.16263008117676,883
8,REST,258.9387893676758,19496
8,GraphQL,315.2179718017578,883
9,REST,259.7999572753906,19496
9,GraphQL,296.01430892944336,883
10,REST,276.9360542297363,19496
10,GraphQL,290.1015281677246,883
11,REST,266.8743133544922,19496
11,GraphQL,337.4009132385254,883
12,REST,254.8515796661377,19496
12,GraphQL,287.79149055480957,883
13,REST,252.79617309570312,19496
13,GraphQL,330.71112632751465,883
14,REST,265.103816986084,19496
14,GraphQL,284.1379642486572,883
15,REST,289.2134189605713,19496
15,GraphQL,362.4227046966553,883
16,REST,267.32516288757324,19496
16,GraphQL,316.44606590270996,883
17,REST,262.14075088500977,19496
17,GraphQL,325.7639408111572,883
18,REST,255.2802562713623,19496
18,GraphQL,303.236722946167,883
19,REST,274.0492820739746,19496
19,GraphQL,321.216344833374,883
20,REST,301.88846588134766,19496
20,GraphQL,304.5845031738281,883
21,REST,252.89416313171387,19496
21,GraphQL,320.00207901000977,883
22,REST,317.4107074737549,19496
22,GraphQL,291.8436527252197,883
23,REST,249.81975555419922,19496
23,GraphQL,286.9141101837158,883
24,REST,252.16197967529297,19496
24,GraphQL,281.66913986206055,883
25,REST,257.5960159301758,19496
25,GraphQL,297.7437973022461,883
26,REST,265.7449245452881,19496
26,GraphQL,307.0094585418701,883
27,REST,269.72031593322754,19496
27,GraphQL,305.70125579833984,883
28,REST,255.6312084197998,19496
28,GraphQL,292.4535274505615,883
29,REST,280.6098461151123,19496
29,GraphQL,289.7605895996094,883
30,REST,320.5678462982178,19496
30,GraphQL,603.9466857910156,883
31,REST,363.5566234588623,19496
31,GraphQL,424.24750328063965,883
32,REST,421.205997467041,19496
32,GraphQL,376.8272399902344,883
33,REST,284.29460525512695,19496
33,GraphQL,315.66882133483887,883
34,REST,268.19801330566406,19496
34,GraphQL,337.89610862731934,883
35,REST,261.7969512939453,19496
35,GraphQL,386.5993022918701,883
36,REST,294.4045066833496,19496
36,GraphQL,359.27653312683105,883
37,REST,360.97025871276855,19496
37,GraphQL,316.9364929199219,883
38,REST,262.2194290161133,19496
38,GraphQL,305.661678314209,883
39,REST,271.1026668548584,19496
39,GraphQL,306.7772388458252,883
40,REST,315.5405521392822,19496
40,GraphQL,307.89804458618164,883
41,REST,283.6732864379883,19496
41,GraphQL,313.1141662597656,883
42,REST,278.44786643981934,19496
42,GraphQL,323.58527183532715,883
43,REST,268.08738708496094,19496
43,GraphQL,364.5191192626953,883
44,REST,261.2764835357666,19496
44,GraphQL,343.2903289794922,883
45,REST,369.3549633026123,19496
45,GraphQL,299.82805252075195,883
46,REST,306.2629699707031,19496
46,GraphQL,315.43660163879395,883
47,REST,313.94195556640625,19496
47,GraphQL,340.0251865386963,883
48,REST,272.2175121307373,19496
48,GraphQL,304.3179512023926,883
49,REST,269.8676586151123,19496
49,GraphQL,341.51268005371094,883
50,REST,296.33259773254395,19496
50,GraphQL,463.5307788848877,883
